,,,Fisher's exact test for count data,H1: true odds ratio is not equal to 1
,Non-mutators,,,
,Length (bp),dN,p-value = 6.91e-07,odds ratio = 0.4403785 
Core,1944921,109,,
Non-core,2066416,51,,
,Mutators,,,
,Length (bp),dN,p-value = 0.2332,odds ratio = 1.037641
Core,1944921,2040,,
Non-core,2066416,2249,,
,Length (bp),dS,p-value = 0.6822,odds ratio =  0.9801864 
Core,1944921,845,,
Non-core,2066416,880,,
